一个 yi|ge 165652
家伙 jia|huo 3231
才是 cai|shi 3228
具体 ju|ti 3226
这也 zhe|ye 3223
十六 shi|liu 3219
科技 ke|ji 3213
倒是 dao|shi 3213
众人 zhong|ren 3207
想法 xiang|fa 3206
还能 hai|neng 3206
他有 ta|you 3202
台上 tai|shang 3202
记录 ji|lu 3193
世界上 shi|jie|shang 3192
聪明 cong|ming 3191
就象 jiu|xiang 3191
毛泽东 mao|ze|dong 3188
打算 da|suan 3183
大声 da|sheng 3183
很不 hen|bu 3181
宿舍 su|she 3178
类似 lei|si 3177
指挥 zhi|hui 3175
某些 mou|xie 3174
危险 wei|xian 3173
双方 shuang|fang 3171
按照 an|zhao 3169
也很 ye|hen 3169
相同 xiang|tong 3168
照片 zhao|pian 3167
摇头 yao|tou 3166
传统 chuan|tong 3157
究竟 jiu|jing 3153
好几 hao|ji 3149
我国 wo|guo 3147
屋里 wu|li 3147
输入 shu|ru 3146
放弃 fang|qi 3146
作出 zuo|chu 3145
他想 ta|xiang 3145
地位 di|wei 3141
始终 shi|zhong 3141
规定 gui|ding 3140
不停 bu|ting 3138
用了 yong|le 3138
这话 zhe|hua 3138
往往 wang|wang 3133
或是 huo|shi 3131
允许 yun|xu 3131
身材 shen|cai 3125
不得不 bu|de|bu 3124
任务 ren|wu 3123
要在 yao|zai 3123
法国 fa|guo 3122
毕竟 bi|jing 3119
同志 tong|zhi 3115
一名 yi|ming 3110
在于 zai|yu 3105
困难 kun|nan 3104
恐怕 kong|pa 3103
那位 na|wei 3102
稳定 wen|ding 3100
没什么 mei|shen|me 3100
一句话 yi|ju|hua 3099
罗斯 luo|si 3097
男子 nan|zi 3092
有所 you|suo 3091
干部 gan|bu 3090
打击 da|ji 3089
安排 an|pai 3088
回事 hui|shi 3086
老婆 lao|po 3085
单位 dan|wei 3079
你想 ni|xiang 3070
大小 da|xiao 3066
今日 jin|ri 3066
战斗 zhan|dou 3064
不着 bu|zhao 3061
会上 hui|shang 3059
看得 kan|de 3057
内心 nei|xin 3050
朝鲜 chao|xian 3048
正式 zheng|shi 3047
原则 yuan|ze 3047
值得 zhi|de 3046
三年 san|nian 3046
和你 he|ni 3046
话说 hua|shuo 3043
价值 jia|zhi 3042
灵魂 ling|hun 3042
白色 bai|se 3038
程度 cheng|du 3037
工具 gong|ju 3027
说完 shuo|wan 3025
进一步 jin|yi|bu 3023
出版 chu|ban 3020
观点 guan|dian 3019
情况下 qing|kuang|xia 3018
本书 ben|shu 3017
一级 yi|ji 3017
熟悉 shu|xi 3014
用来 yong|lai 3014
中美 zhong|mei 3013
向我 xiang|wo 3008
公子 gong|zi 3005
十二 shi|er 3000
很久 hen|jiu 2997
可惜 ke|xi 2989
也在 ye|zai 2988
写了 xie|le 2988
专家 zhuan|jia 2987
满足 man|zu 2987
理想 li|xiang 2987
特殊 te|shu 2985
相互 xiang|hu 2985
平凡 ping|fan 2984
检查 jian|cha 2983
十八 shi|ba 2983
一旦 yi|dan 2975
拿出 na|chu 2973
剩下 sheng|xia 2970
要有 yao|you 2967
看他 kan|ta 2967
地球 di|qiu 2965
遇到 yu|dao 2962
距离 ju|li 2960
诗人 shi|ren 2958
原文 yuan|wen 2957
类别 lei|bie 2955
运行 yun|xing 2954
就好 jiu|hao 2953
却又 que|you 2953
陌生 mo|sheng 2952
道理 dao|li 2950
亚洲 ya|zhou 2948
大约 da|yue 2941
不够 bu|gou 2940
自我 zi|wo 2938
利益 li|yi 2936
时刻 shi|ke 2935
明显 ming|xian 2932
伟大 wei|da 2930
如同 ru|tong 2929
提高 ti|gao 2927
访问 fang|wen 2927
天上 tian|shang 2925
女生 nv|sheng 2922
得出 de|chu 2913
一路 yi|lu 2906
情绪 qing|xu 2905
到处 dao|chu 2905
火车 huo|che 2905
谁也 shui|ye 2901
欢迎 huan|ying 2898
对面 dui|mian 2898
要说 yao|shuo 2898
名称 ming|cheng 2891
人和 ren|he 2890
没人 mei|ren 2886
对你 dui|ni 2886
国民党 guo|min|dang 2886
大会 da|hui 2882
布什 bu|shi 2882
设置 she|zhi 2876
分别 fen|bie 2876
红色 hong|se 2876
得多 de|duo 2876
就算 jiu|suan 2873
就说 jiu|shuo 2873
上下 shang|xia 2870
天天 tian|tian 2868
南京 nan|jing 2866
走在 zou|zai 2866
平静 ping|jing 2865
指定 zhi|ding 2861
灿烂 can|lan 2861
只见 zhi|jian 2859
创造 chuang|zao 2857
就能 jiu|neng 2857
大量 da|liang 2854
不容 bu|rong 2854
版本 ban|ben 2852
办公室 ban|gong|shi 2850
互相 hu|xiang 2848
韩国 han|guo 2841
他自己 ta|zi|ji 2840
部门 bu|men 2838
成立 cheng|li 2838
到达 dao|da 2837
组成 zu|cheng 2832
一座 yi|zuo 2832
桌上 zhuo|shang 2831
有过 you|guo 2830
科学家 ke|xue|jia 2830
好不 hao|bu 2830
在外 zai|wai 2829
干什么 gan|shen|me 2826
去年 qu|nian 2823
什么时候 shen|me|shi|hou 2820
桌子 zhuo|zi 2820
可爱 ke|ai 2818
颜色 yan|se 2813
成员 cheng|yuan 2813
关心 guan|xin 2813
它是 ta|shi 2813
打电话 da|dian|hua 2811
力学 li|xue 2811
日报 ri|bao 2800
去找 qu|zhao 2800
一半 yi|ban 2799
孤独 gu|du 2798
下文 xia|wen 2798
见面 jian|mian 2796
保证 bao|zheng 2794
妹妹 mei|mei 2792
命运 ming|yun 2790
这才 zhe|cai 2785
学院 xue|yuan 2784
看你 kan|ni 2780
期间 qi|jian 2779
水平 shui|ping 2775
竟是 jing|shi 2773
法律 fa|lv 2772
与我 yu|wo 2768
不觉 bu|jue 2768
并非 bing|fei 2765
夜里 ye|li 2764
我所 wo|suo 2763
彻底 che|di 2761
印象 yin|xiang 2757
是以 shi|yi 2756
领域 ling|yu 2752
从此 cong|ci 2749
手中 shou|zhong 2748
温柔 wen|rou 2748
特别是 te|bie|shi 2747
心地 xin|di 2747
第十 di|shi 2746
对不起 dui|bu|qi 2745
鼻子 bi|zi 2744
总理 zong|li 2743
地址 di|zhi 2740
不禁 bu|jin 2739
决不 jue|bu 2736
天气 tian|qi 2735
不由 bu|you 2733
有着 you|zhe 2732
睡觉 shui|jiao 2732
秘密 mi|mi 2729
午饭 wu|fan 2729
此刻 ci|ke 2728
错了 cuo|le 2728
而不是 er|bu|shi 2726
放下 fang|xia 2724
转过 zhuan|guo 2723
一遍 yi|bian 2722
用手 yong|shou 2721
飞行 fei|xing 2720
这句 zhe|ju 2720
谈判 tan|pan 2717
活着 huo|zhe 2717
每一个 mei|yi|ge 2716
敌人 di|ren 2711
弟弟 di|di 2711
一支 yi|zhi 2708
耳朵 er|duo 2704
之下 zhi|xia 2702
她还 ta|hai 2700
最高 zui|gao 2697
国务 guo|wu 2697
一层 yi|ceng 2690
抓住 zhua|zhu 2687
而言 er|yan 2686
不但 bu|dan 2685
可怕 ke|pa 2683
编号 bian|hao 2682
生气 sheng|qi 2680
协议 xie|yi 2679
随便 sui|bian 2679
被人 bei|ren 2678
家人 jia|ren 2678
一下子 yi|xia|zi 2677
德国 de|guo 2675
迅速 xun|su 2671
第四 di|si 2669
从前 cong|qian 2669
关键 guan|jian 2667
概念 gai|nian 2667
讲话 jiang|hua 2667
笑容 xiao|rong 2665
强调 qiang|diao 2663
思考 si|kao 2663
制度 zhi|du 2662
重大 zhong|da 2662
一番 yi|fan 2660
意味 yi|wei 2658
配置 pei|zhi 2657
阶级 jie|ji 2653
停止 ting|zhi 2650
事实上 shi|shi|shang 2650
不及 bu|ji 2648
制造 zhi|zao 2647
看出 kan|chu 2647
又说 you|shuo 2647
留在 liu|zai 2641
相关 xiang|guan 2640
老头 lao|tou 2635
兴奋 xing|fen 2634
寂寞 ji|mo 2632
石头 shi|tou 2632
表达 biao|da 2631
辈子 bei|zi 2629
想想 xiang|xiang 2628
早晨 zao|chen 2628
在心 zai|xin 2627
有可能 you|ke|neng 2625
蒋介石 jiang|jie|shi 2623
报纸 bao|zhi 2618
自动 zi|dong 2617
果然 guo|ran 2617
失败 shi|bai 2614
感受 gan|shou 2612
半天 ban|tian 2612
仅是 jin|shi 2610
贸易 mao|yi 2608
走去 zou|qu 2604
差不多 cha|bu|duo 2603
窗外 chuang|wai 2601
彼此 bi|ci 2599
使得 shi|de 2597
个个 ge|ge 2592
据说 ju|shuo 2591
作战 zuo|zhan 2587
千万 qian|wan 2586
人心 ren|xin 2585
日本人 ri|ben|ren 2585
将军 jiang|jun 2584
肚子 du|zi 2584
一部分 yi|bu|fen 2580
转身 zhuan|shen 2579
中华 zhong|hua 2577
微微 wei|wei 2576
无聊 wu|liao 2576
对此 dui|ci 2575
说法 shuo|fa 2574
国防 guo|fang 2574
很少 hen|shao 2571
不幸 bu|xing 2570
一副 yi|fu 2569
盯着 ding|zhe 2568
不喜欢 bu|xi|huan 2567
早上 zao|shang 2566
毫不 hao|bu 2565
在地上 zai|di|shang 2565
客人 ke|ren 2562
我省 wo|sheng 2560
能有 neng|you 2558
几句 ji|ju 2556
必然 bi|ran 2552
抬起 tai|qi 2551
十七 shi|qi 2550
共和 gong|he 2545
公开 gong|kai 2544
一颗 yi|ke 2544
妇人 fu|ren 2541
称为 cheng|wei 2540
拿着 na|zhe 2540
满意 man|yi 2539
集团 ji|tuan 2536
与他 yu|ta 2535
两年 liang|nian 2531
大多数 da|duo|shu 2529
身份 shen|fen 2525
核心 he|xin 2525
不像 bu|xiang 2524
屋子 wu|zi 2523
阶段 jie|duan 2522
你会 ni|hui 2519
地面 di|mian 2518
范围 fan|wei 2517
麻烦 ma|fan 2515
做出 zuo|chu 2512
一股 yi|gu 2512
矛盾 mao|dun 2511
传来 chuan|lai 2510
梦想 meng|xiang 2508
放心 fang|xin 2508
远远 yuan|yuan 2508
积极 ji|ji 2506
及其 ji|qi 2506
悟空 wu|kong 2506
俄罗斯 e|luo|si 2505
当地 dang|di 2503
一大 yi|da 2500
哲学 zhe|xue 2500
十三 shi|san 2500
身后 shen|hou 2497
这个问题 zhe|ge|wen|ti 2497
超过 chao|guo 2496
文明 wen|ming 2496
内部 nei|bu 2490
逐渐 zhu|jian 2490
爆炸 bao|zha 2490
等着 deng|zhe 2490
不明白 bu|ming|bai 2489
媒体 mei|ti 2487
是非 shi|fei 2487
不让 bu|rang 2486
脸色 lian|se 2484
地下 di|xia 2479
东京 dong|jing 2479
几次 ji|ci 2478
追求 zhui|qiu 2475
美元 mei|yuan 2473
一方面 yi|fang|mian 2468
出门 chu|men 2468
批评 pi|ping 2467
一夜 yi|ye 2467
怎么办 zen|me|ban 2464
眼神 yan|shen 2464
说到 shuo|dao 2464
读书 du|shu 2462
巴勒斯坦 ba|le|si|tan 2461
威胁 wei|xie 2460
服务器 fu|wu|qi 2455
应当 ying|dang 2455
不下 bu|xia 2455
深深 shen|shen 2453
有用 you|yong 2446
道德 dao|de 2442
紧紧 jin|jin 2441
反而 fan|er 2440
两国 liang|guo 2436
逻辑 luo|ji 2435
背景 bei|jing 2434
斗争 dou|zheng 2434
某个 mou|ge 2432
悄悄 qiao|qiao 2432
他人 ta|ren 2431
抱着 bao|zhe 2425
坐着 zuo|zhe 2421
一头 yi|tou 2420
为人 wei|ren 2413
不足 bu|zu 2411
投资 tou|zi 2408
机构 ji|gou 2408
人群 ren|qun 2408
一群 yi|qun 2408
将会 jiang|hui 2407
那么多 na|me|duo 2407
发言 fa|yan 2406
看过 kan|guo 2406
表明 biao|ming 2405
背后 bei|hou 2405
无数 wu|shu 2404
至今 zhi|jin 2402
脖子 bo|zi 2401
把你 ba|ni 2400
黑色 hei|se 2399
系列 xi|lie 2396
有效 you|xiao 2396
避免 bi|mian 2395
也好 ye|hao 2394
写作 xie|zuo 2393
著名 zhu|ming 2392
安心 an|xin 2392
没想到 mei|xiang|dao 2390
落在 luo|zai 2389
参数 can|shu 2388
欧洲 ou|zhou 2386
但不 dan|bu 2386
一套 yi|tao 2385
激动 ji|dong 2384
结论 jie|lun 2384
一千 yi|qian 2383
五年 wu|nian 2382
事业 shi|ye 2381
讨厌 tao|yan 2381
例子 li|zi 2381
农民 nong|min 2379
司令 si|ling 2379
人士 ren|shi 2377
明了 ming|le 2375
味道 wei|dao 2374
瞬间 shun|jian 2373
就是说 jiu|shi|shuo 2372
接触 jie|chu 2371
见我 jian|wo 2370
嘴里 zui|li 2369
感谢 gan|xie 2365
通知 tong|zhi 2364
银子 yin|zi 2364
看上 kan|shang 2364
不然 bu|ran 2363
平原 ping|yuan 2362
哪个 na|ge 2359
里来 li|lai 2358
大事 da|shi 2354
来时 lai|shi 2354
如下 ru|xia 2350
一行 yi|xing 2350
底下 di|xia 2350
上午 shang|wu 2349
冲突 chong|tu 2349
不定 bu|ding 2349
什么样 shen|me|yang 2345
好意 hao|yi 2345
开口 kai|kou 2344
十九 shi|jiu 2344
质量 zhi|liang 2343
呼吸 hu|xi 2343
体系 ti|xi 2340
尤其是 you|qi|shi 2339
两种 liang|zhong 2339
还会 hai|hui 2335
谈话 tan|hua 2329
你去 ni|qu 2327
比我 bi|wo 2322
等到 deng|dao 2320
跑到 pao|dao 2320
嘴唇 zui|chun 2319
可以说 ke|yi|shuo 2318
罢了 ba|le 2318
指令 zhi|ling 2315
江泽民 jiang|ze|min 2315
数字 shu|zi 2313
吸引 xi|yin 2312
聘请 pin|qing 2312
限制 xian|zhi 2310
伊拉克 yi|la|ke 2310
我家 wo|jia 2307
这时候 zhe|shi|hou 2307
信号 xin|hao 2303
百姓 bai|xing 2303
大哥 da|ge 2302
要用 yao|yong 2302
眼里 yan|li 2301
人多 ren|duo 2301
过头 guo|tou 2301
四个 si|ge 2300
小卖部 xiao|mai|bu 2300
有限 you|xian 2299
领导人 ling|dao|ren 2299
夏天 xia|tian 2298
那只 na|zhi 2297
三四 san|si 2297
全都 quan|dou 2296
几十 ji|shi 2296
那你 na|ni 2295
不需 bu|xu 2295
导致 dao|zhi 2294
杀人 sha|ren 2293
心灵 xin|ling 2291
社会主义 she|hui|zhu|yi 2290
有时候 you|shi|hou 2289
请你 qing|ni 2289
克林顿 ke|lin|dun 2289
一丝 yi|si 2287
方便 fang|bian 2284
不应 bu|ying 2283
玩笑 wan|xiao 2283
收拾 shou|shi 2281
东北 dong|bei 2280
一日 yi|ri 2280
车上 che|shang 2278
算了 suan|le 2276
门外 men|wai 2275
把手 ba|shou 2275
热情 re|qing 2272
已是 yi|shi 2271
静静 jing|jing 2270
默默 mo|mo 2270
不怕 bu|pa 2269
胜利 sheng|li 2268
情人 qing|ren 2263
一对 yi|dui 2262
有一些 you|yi|xie 2261
之类 zhi|lei 2260
破坏 po|huai 2259
博士 bo|shi 2259
百年 bai|nian 2256
规模 gui|mo 2255
神秘 shen|mi 2253
去吧 qu|ba 2253
好多 hao|duo 2250
交给 jiao|gei 2248
一致 yi|zhi 2247
发动 fa|dong 2246
展开 zhan|kai 2244
模式 mo|shi 2243
大门 da|men 2243
有一点 you|yi|dian 2243
夜晚 ye|wan 2242
生存 sheng|cun 2240
一双 yi|shuang 2236
着眼 zhuo|yan 2236
两天 liang|tian 2235
建筑 jian|zhu 2234
中午 zhong|wu 2234
工人 gong|ren 2232
士兵 shi|bing 2230
国共 guo|gong 2229
所在 suo|zai 2228
而又 er|you 2227
干净 gan|jing 2221
这句话 zhe|ju|hua 2219
网站 wang|zhan 2218
所说 suo|shuo 2218
脚步 jiao|bu 2216
航空 hang|kong 2215
海军 hai|jun 2215
看法 kan|fa 2214
没说 mei|shuo 2213
听得 ting|de 2212
十几 shi|ji 2212
感动 gan|dong 2211
澳门 ao|men 2210
不愿意 bu|yuan|yi 2209
老太 lao|tai 2209
自杀 zi|sha 2208
泪水 lei|shui 2208
向前 xiang|qian 2208
场上 chang|shang 2207
决心 jue|xin 2206
内核 nei|he 2205
还可 hai|ke 2203
国外 guo|wai 2202
她又 ta|you 2202
休息 xiu|xi 2198
相反 xiang|fan 2196
一封 yi|feng 2195
论文 lun|wen 2194
正好 zheng|hao 2193
不就 bu|jiu 2192
重复 chong|fu 2190
不来 bu|lai 2189
试图 shi|tu 2186
叫做 jiao|zuo 2182
那年 na|nian 2182
杂志 za|zhi 2181
一杯 yi|bei 2181
长期 chang|qi 2180
接近 jie|jin 2180
你能 ni|neng 2179
无可 wu|ke 2179
联合国 lian|he|guo 2178
学术 xue|shu 2177
穿过 chuan|guo 2176
这么多 zhe|me|duo 2175
奶奶 nai|nai 2175
分区 fen|qu 2175
编译 bian|yi 2175
很高 hen|gao 2174
聊天 liao|tian 2173
那时候 na|shi|hou 2172
你好 ni|hao 2171
两只 liang|zhi 2170
轻松 qing|song 2168
更是 geng|shi 2167
一口气 yi|kou|qi 2166
学者 xue|zhe 2166
您的 nin|de 2164
高级 gao|ji 2164
证据 zheng|ju 2163
怎么会 zen|me|hui 2161
出口 chu|kou 2160
大部分 da|bu|fen 2159
城里 cheng|li 2158
恋爱 lian|ai 2156
使人 shi|ren 2155
忍不住 ren|bu|zhu 2153
明确 ming|que 2152
纷纷 fen|fen 2152
年轻人 nian|qing|ren 2152
产品 chan|pin 2150
而在 er|zai 2150
远处 yuan|chu 2149
两岸 liang|an 2148
则是 ze|shi 2147
为此 wei|ci 2147
大大 da|da 2145
压力 ya|li 2143
集中 ji|zhong 2142
国大 guo|da 2142
月亮 yue|liang 2141
一代 yi|dai 2140
一团 yi|tuan 2140
评论 ping|lun 2138
蓝色 lan|se 2134
劳动 lao|dong 2133
妇女 fu|nv 2130
权力 quan|li 2130
没了 mei|le 2125
哪一 na|yi 2125
银行 yin|hang 2123
宗教 zong|jiao 2122
形象 xing|xiang 2121
绝不 jue|bu 2117
神经 shen|jing 2115
网路 wang|lu 2113
男生 nan|sheng 2112
手段 shou|duan 2110
模糊 mo|hu 2108
气氛 qi|fen 2106
情形 qing|xing 2105
高山 gao|shan 2105
醒来 xing|lai 2104
长大 zhang|da 2103
完整 wan|zheng 2101
一看 yi|kan 2100
我认为 wo|ren|wei 2100
乡镇企业 xiang|zhen|qi|ye 2100
无限 wu|xian 2097
工业 gong|ye 2096
男女 nan|nv 2096
种种 zhong|zhong 2092
增长 zeng|zhang 2091
不信 bu|xin 2091
得意 de|yi 2090
不开 bu|kai 2090
只不过 zhi|bu|guo 2089
无人 wu|ren 2089
全面 quan|mian 2087
当初 dang|chu 2087
专业 zhuan|ye 2083
读者 du|zhe 2083
公里 gong|li 2081
这不是 zhe|bu|shi 2081
从来没有 cong|lai|mei|you 2081
不曾 bu|ceng 2081
国务院 guo|wu|yuan 2079
答案 da|an 2075
机场 ji|chang 2074
冬天 dong|tian 2074
模样 mu|yang 2073
独自 du|zi 2073
一身 yi|shen 2071
都能 dou|neng 2070
走向 zou|xiang 2070
日记 ri|ji 2068
先是 xian|shi 2068
多次 duo|ci 2066
性质 xing|zhi 2064
收到 shou|dao 2064
自从 zi|cong 2063
椅子 yi|zi 2063
充分 chong|fen 2062
无意 wu|yi 2061
青春 qing|chun 2060
拿大 na|da 2059
拿起 na|qi 2058
移动 yi|dong 2057
选项 xuan|xiang 2057
三天 san|tian 2055
道路 dao|lu 2054
安慰 an|wei 2054
故意 gu|yi 2051
亲自 qin|zi 2051
好看 hao|kan 2050
沉重 chen|zhong 2050
在下 zai|xia 2050
好处 hao|chu 2049
伸出 shen|chu 2049
发现了 fa|xian|le 2049
符合 fu|he 2048
扩大 kuo|da 2048
为何 wei|he 2046
安静 an|jing 2046
代码 dai|ma 2045
等我 deng|wo 2044
我打 wo|da 2044
享受 xiang|shou 2042
手机 shou|ji 2041
没事 mei|shi 2041
彼岸 bi|an 2041
和尚 he|shang 2040
商业 shang|ye 2039
在后 zai|hou 2039
意外 yi|wai 2038
而来 er|lai 2037
不满 bu|man 2037
更不 geng|bu 2035
懂得 dong|de 2031
不该 bu|gai 2031
何人 he|ren 2031
假设 jia|she 2028
让我们 rang|wo|men 2024
长得 zhang|de 2021
中共中央 zhong|gong|zhong|yang 2021
也都 ye|dou 2019
一辈 yi|bei 2017
之处 zhi|chu 2016
不理 bu|li 2014
高度 gao|du 2013
女友 nv|you 2013
一刻 yi|ke 2013
召开 zhao|kai 2012
因而 yin|er 2009
招呼 zhao|hu 2009
从不 cong|bu 2009
死去 si|qu 2007
影子 ying|zi 2005
农村 nong|cun 2004
全球 quan|qiu 2003
不需要 bu|xu|yao 2001
项目 xiang|mu 2000
但在 dan|zai 1999
找不到 zhao|bu|dao 1997
看起来 kan|qi|lai 1995
这条 zhe|tiao 1995
停下 ting|xia 1995
失望 shi|wang 1993
窗口 chuang|kou 1992
用于 yong|yu 1991
专门 zhuan|men 1991
你自己 ni|zi|ji 1991
连忙 lian|mang 1991
话题 hua|ti 1990
以外 yi|wai 1990
估计 gu|ji 1988
镜子 jing|zi 1988
送到 song|dao 1985
生意 sheng|yi 1983
地点 di|dian 1981
处于 chu|yu 1981
足够 zu|gou 1981
半个 ban|ge 1981
贝尔 bei|er 1979
不算 bu|suan 1975
热闹 re|nao 1975
连接 lian|jie 1974
小学 xiao|xue 1971
浑身 hun|shen 1971
有趣 you|qu 1970
好吗 hao|ma 1970
加拿大 jia|na|da 1969
当作 dang|zuo 1969
二人 er|ren 1965
观念 guan|nian 1962
大地 da|di 1962
列车 lie|che 1962
每个人 mei|ge|ren 1961
那次 na|ci 1961
采用 cai|yong 1959
有多少 you|duo|shao 1959
而去 er|qu 1957
人大 ren|da 1956
幻想 huan|xiang 1956
抬头 tai|tou 1956
资源 zi|yuan 1951
科索沃 ke|suo|wo 1950
一间 yi|jian 1949
粒子 li|zi 1948
万人 wan|ren 1947
屁股 pi|gu 1947
无关 wu|guan 1946
睡着 shui|zhao 1945
灯光 deng|guang 1944
糊涂 hu|tu 1944
机关 ji|guan 1942
能把 neng|ba 1942
维护 wei|hu 1940
老实 lao|shi 1939
温暖 wen|nuan 1938
绝望 jue|wang 1937
六十 liu|shi 1937
最好的 zui|hao|de 1934
到家 dao|jia 1933
好奇 hao|qi 1931
感觉到 gan|jue|dao 1929
胳膊 ge|bo 1929
玫瑰 mei|gui 1927
随后 sui|hou 1926
严肃 yan|su 1926
匆匆 cong|cong 1926
声明 sheng|ming 1925
主意 zhu|yi 1925
无疑 wu|yi 1923
肩膀 jian|bang 1923
这么说 zhe|me|shuo 1921
一辆 yi|liang 1918
不时 bu|shi 1918
赶紧 gan|jin 1916
喝酒 he|jiu 1916
那张 na|zhang 1916
舒服 shu|fu 1914
恐惧 kong|ju 1913
愉快 yu|kuai 1913
表演 biao|yan 1912
律师 lv|shi 1911
更好 geng|hao 1910
小组 xiao|zu 1910
图书 tu|shu 1909
自身 zi|shen 1909
这可 zhe|ke 1908
怀里 huai|li 1907
爱上 ai|shang 1907
她想 ta|xiang 1907
年纪 nian|ji 1906
体制 ti|zhi 1903
从未 cong|wei 1903
车站 che|zhan 1903
年龄 nian|ling 1902
喝了 he|le 1902
阿富汗 a|fu|han 1902
他会 ta|hui 1901
四周 si|zhou 1898
北方 bei|fang 1897
法院 fa|yuan 1896
国会 guo|hui 1896
要做 yao|zuo 1894
眼看 yan|kan 1894
平时 ping|shi 1893
爷爷 ye|ye 1892
注意到 zhu|yi|dao 1892
意识到 yi|shi|dao 1891
过去了 guo|qu|le 1890
化学 hua|xue 1889
参与 can|yu 1888
都说 dou|shuo 1888
判断 pan|duan 1887
勇气 yong|qi 1887
家中 jia|zhong 1887
还说 hai|shuo 1887
年后 nian|hou 1887
我能 wo|neng 1886
主张 zhu|zhang 1886
方案 fang|an 1885
美好 mei|hao 1885
事物 shi|wu 1885
一一 yi|yi 1885
欲望 yu|wang 1883
神情 shen|qing 1883
一动 yi|dong 1883
厉害 li|hai 1881
会把 hui|ba 1880
天地 tian|di 1879
宣传 xuan|chuan 1878
引力 yin|li 1877
对话 dui|hua 1874
第五 di|wu 1872
权利 quan|li 1871
偶尔 ou|er 1871
发射 fa|she 1871
正如 zheng|ru 1871
在内 zai|nei 1869
势力 shi|li 1868
空军 kong|jun 1868
来得 lai|de 1868
表面 biao|mian 1867
春天 chun|tian 1867
那就是 na|jiu|shi 1864
掌握 zhang|wo 1863
墙上 qiang|shang 1863
想说 xiang|shuo 1862
